agent,depth,layout,avg_score,avg_time
AlphaBetaAgent,2,originalClassic,2204.4285714285716,0.0055815945932230155
AlphaBetaAgent,3,originalClassic,2527.285714285714,0.017282923647990354
AlphaBetaAgent,2,smallClassic,785.2857142857143,0.005178467978499611
AlphaBetaAgent,3,smallClassic,1145.4285714285713,0.020799749495946897
AlphaBetaAgent,2,testClassic,561.1428571428571,0.0029676691745143904
AlphaBetaAgent,3,testClassic,558.8571428571429,0.011646757116705339
AlphaBetaAgent,2,trappedClassic,-58.714285714285715,0.0006043059485299247
AlphaBetaAgent,3,trappedClassic,-58.57142857142857,0.0007265423025403704
AlphaBetaAgent,2,trickyClassic,1602.4285714285713,0.00922918157366299
AlphaBetaAgent,3,trickyClassic,1638.142857142857,0.0364666936666234
RandomExpectimaxAgent,2,capsuleClassic,-76.0,0.003107772483937443
RandomExpectimaxAgent,3,capsuleClassic,620.8571428571429,0.01313975598733932
RandomExpectimaxAgent,2,contestClassic,1301.142857142857,0.005013662928913124
RandomExpectimaxAgent,3,contestClassic,1168.7142857142858,0.0190251586723954
RandomExpectimaxAgent,2,mediumClassic,1624.7142857142858,0.005961556135810264
RandomExpectimaxAgent,3,mediumClassic,1751.0,0.029918173890525125
RandomExpectimaxAgent,2,minimaxClassic,371.85714285714283,0.0018073831285749162
RandomExpectimaxAgent,3,minimaxClassic,366.85714285714283,0.005752362787837905
RandomExpectimaxAgent,2,openClassic,1237.142857142857,0.022134381503369105
RandomExpectimaxAgent,3,openClassic,1243.7142857142858,0.2340294949679861
RandomExpectimaxAgent,2,originalClassic,2091.714285714286,0.006506624893016261
RandomExpectimaxAgent,3,originalClassic,2122.8571428571427,0.023410598056564518
RandomExpectimaxAgent,2,smallClassic,632.1428571428571,0.007600515550099593
RandomExpectimaxAgent,3,smallClassic,995.8571428571429,0.041831789835469854
RandomExpectimaxAgent,2,testClassic,563.1428571428571,0.004463712374369303
RandomExpectimaxAgent,3,testClassic,559.1428571428571,0.0263410685809104
RandomExpectimaxAgent,2,trappedClassic,-58.857142857142854,0.0006416056837354388
RandomExpectimaxAgent,3,trappedClassic,88.85714285714286,0.000816779477255685
RandomExpectimaxAgent,2,trickyClassic,1374.2857142857142,0.012023057744546452
RandomExpectimaxAgent,3,trickyClassic,1675.5714285714287,0.08198857984531008

